code,name,last_price,change_pct,change_amount,volume,amount,amplitude,turnover_rate,pe,pb,open,high,low,source,update_time
bj920394,民士达,55.16,-4.186,-2.41,1612020.0,91003870.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920395,朗鸿科技,7.02,-0.847,-0.06,184864.0,1314133.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920396,常辅股份,20.62,-1.34,-0.28,523233.0,10898691.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920402,硅烷科技,12.91,1.654,0.21,10451727.0,134831627.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920403,康农种业,15.82,-1.8,-0.29,672530.0,10676900.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920405,海希通讯,20.04,-0.546,-0.11,1341008.0,26844155.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920407,驰诚股份,13.04,-1.287,-0.17,237534.0,3136552.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920414,欧普泰,8.15,-0.852,-0.07,489267.0,4058077.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920415,恒拓开源,9.08,-2.05,-0.19,632315.0,5787515.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920418,苏轴股份,21.49,-0.785,-0.17,2277451.0,50421094.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920419,路斯股份,9.56,-0.313,-0.03,332546.0,3185706.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920422,润普食品,8.8,0.802,0.07,301326.0,2666050.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920425,乐创技术,22.87,-1.634,-0.38,895871.0,20778885.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920427,华维设计,9.45,-0.526,-0.05,574442.0,5464685.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920429,康比特,9.62,0.104,0.01,253119.0,2441675.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920433,大唐药业,4.39,-2.661,-0.12,1976121.0,8733178.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920436,大地电气,10.64,-0.281,-0.03,300762.0,3214750.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920438,戈碧迦,139.24,4.692,6.24,5399015.0,744855798.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920445,龙竹科技,6.39,0.157,0.01,682892.0,4424288.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920454,同心传动,11.36,-1.045,-0.12,183530.0,2104716.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920455,汇隆活塞,5.75,-0.691,-0.04,132646.0,770570.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920469,富恒新材,5.93,-0.836,-0.05,847166.0,5063573.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920471,美邦科技,11.51,-2.458,-0.29,1111465.0,12929175.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920475,三友科技,11.57,-0.942,-0.11,197012.0,2311739.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920476,海能技术,22.65,-0.658,-0.15,1134426.0,26047976.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920478,峆一药业,10.71,-6.217,-0.71,4573713.0,49499928.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920489,佳先股份,17.77,0.509,0.09,2449258.0,43786770.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920491,奥迪威,30.08,1.622,0.48,3639752.0,113700412.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920493,并行科技,104.2,-0.771,-0.81,376001.0,39690808.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920496,许昌智能,6.16,-1.282,-0.08,997927.0,6276478.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
