symbol,name,report_date,pub_date,year,quarter,roe,net_margin,gross_margin,net_profit,eps,revenue,debt_ratio,source
605020,永和股份,2025-12-31,2026-04-30,2025,4,1.620952395800,,25.127216071800,,1.21,,27.661471072900,mxdata
603893,瑞芯微,2025-12-31,2026-04-30,2025,4,7.23,,43.042024544900,,0.78,,17.854864136900,mxdata
603912,佳力图,2025-12-31,2026-04-30,2025,4,-1.14,,9.967801392100,,-0.04,,54.442120969700,mxdata
603985,恒润股份,2025-12-31,2026-04-30,2025,4,1.97,,12.877871141500,,0.149,,43.383391054100,mxdata
603993,洛阳钼业,2025-12-31,2026-04-30,2025,4,9.06,,22.884939327500,,0.36,,52.030320784100,mxdata
605020,永和股份,2025-12-31,2026-04-30,2025,4,3.086346833500,,27.212781257400,,0.35,,31.516352482600,mxdata
688017,绿的谐波,2025-12-31,2026-04-30,2025,4,0.92,,33.618009884100,,0.178,,9.443144847500,mxdata
688023,安恒信息,2025-12-31,2026-04-30,2025,4,-4.64,,55.653608565400,,-1.12,,45.276925986800,mxdata
688017,绿的谐波,2025-12-31,2026-04-30,2025,4,3.57,,36.905153163900,,0.6924,,9.821480039400,mxdata
688023,安恒信息,2025-12-31,2026-04-30,2025,4,-2.31,,61.897056111500,,-0.57,,46.510691599900,mxdata
688082,盛美上海,2025-12-31,2026-04-30,2025,4,0.769311441900,,45.637953549100,,0.22,,29.126207068500,mxdata
688107,安路科技,2025-12-31,2026-04-30,2025,4,-4.42,,41.258530180900,,-0.1018,,18.222324994700,mxdata
688082,盛美上海,2025-12-31,2026-04-30,2025,4,0.970978388700,,48.317988134500,,3.1,,28.706427176900,mxdata
688107,安路科技,2025-12-31,2026-04-30,2025,4,-25.24,,43.000260569600,,-0.6797,,16.627058111800,mxdata
688110,东芯股份,2025-12-31,2026-04-30,2025,4,-6.22,,24.514942168200,,-0.45,,5.676164370100,mxdata
688111,金山办公,2025-12-31,2026-04-30,2025,4,15.2,,85.947624492700,,3.97,,29.20473961600,mxdata
688123,聚辰股份,2025-12-31,2026-04-30,2025,4,15.11,,57.289896529100,,2.3,,6.388521517600,mxdata
688141,杰华特,2025-12-31,2026-04-30,2025,4,-40.08,,26.365786860100,,-1.6,,65.184480428200,mxdata
688158,优刻得,2025-12-31,2026-04-30,2025,4,-3.07,,25.733543359400,,-0.16,,32.590296285100,mxdata
688110,东芯股份,2025-12-31,2026-04-30,2025,4,3.91,,53.169599028800,,0.32,,6.327043903700,mxdata
688111,金山办公,2025-12-31,2026-04-30,2025,4,15.7,,86.593651225400,,4.74,,25.163354005300,mxdata
688123,聚辰股份,2025-12-31,2026-04-30,2025,4,1.16,,48.934646604300,,0.19,,5.040741288600,mxdata
688141,杰华特,2025-12-31,2026-04-30,2025,4,-19.92,,25.322584447100,,-0.61,,72.104884971200,mxdata
688158,优刻得,2025-12-31,2026-04-30,2025,4,0.11,,29.343517568200,,0.01,,33.974194217500,mxdata
688206,概伦电子,2025-12-31,2026-04-30,2025,4,-0.385263592300,,86.890564026900,,0.08,,21.17998938800,mxdata
688207,格灵深瞳,2025-12-31,2026-04-30,2025,4,-9.57,,33.412450395400,,-0.73,,10.700767322900,mxdata
688225,亚信安全,2025-12-31,2026-04-30,2025,4,-22.92,,39.137711303400,,-1.1533,,49.243564465500,mxdata
688226,威腾电气,2025-12-31,2026-04-30,2025,4,1.79,,11.145784298700,,0.16,,65.523521870600,mxdata
688206,概伦电子,2025-12-31,2026-04-30,2025,4,-0.615299460600,,86.212127534300,,-0.028,,19.624970418700,mxdata
688207,格灵深瞳,2025-12-31,2026-04-30,2025,4,-2.21,,24.38168422500,,-0.16,,8.029248172500,mxdata
688225,亚信安全,2025-12-31,2026-04-30,2025,4,-11.32,,27.794663954500,,-0.4817,,50.8553862600,mxdata
688226,威腾电气,2025-12-31,2026-04-30,2025,4,0.41,,11.676676478500,,0.04,,65.901912980200,mxdata
688268,华特气体,2025-12-31,2026-04-30,2025,4,1.671537267400,,30.195652444600,,0.28,,41.717534103600,mxdata
688271,联影医疗,2025-12-31,2026-04-30,2025,4,1.83,,47.161431255500,,0.48,,33.965050491800,mxdata
688268,华特气体,2025-12-31,2026-04-30,2025,4,0.815609234300,,30.8730152900,,1.13,,42.369537227600,mxdata
688271,联影医疗,2025-12-31,2026-04-30,2025,4,9.0,,47.01123845400,,2.28,,34.233163813900,mxdata
688300,联瑞新材,2025-12-31,2026-04-30,2025,4,18.38,,40.659853091700,,1.21,,24.546160404300,mxdata
688316,青云科技,2025-12-31,2026-04-30,2025,4,-123.33,,30.616129475700,,-1.3934,,93.377746614600,mxdata
688320,禾川科技,2025-12-31,2026-04-30,2025,4,-10.27,,22.221201775600,,-0.88,,38.115069537500,mxdata
688322,奥比中光,2025-12-31,2026-04-30,2025,4,4.37,,43.755461220900,,0.32,,12.267089764600,mxdata
688326,经纬恒润,2025-12-31,2026-04-30,2025,4,2.44,,23.399889261300,,0.89,,59.187392268600,mxdata
688300,联瑞新材,2025-12-31,2026-04-30,2025,4,4.11,,40.020920947700,,0.3,,37.175483901800,mxdata
688316,青云科技,2025-12-31,2026-04-30,2025,4,-21.89,,34.076766196800,,-0.29,,75.665981713700,mxdata
688320,禾川科技,2025-12-31,2026-04-30,2025,4,-0.46,,23.351158325700,,-0.04,,41.475477459400,mxdata
688322,奥比中光,2025-12-31,2026-04-30,2025,4,1.04,,48.584259346700,,0.08,,10.902049729900,mxdata
688326,经纬恒润,2025-12-31,2026-04-30,2025,4,-4.33,,16.272036952500,,-1.58,,59.563928958300,mxdata
688327,云从科技,2025-12-31,2026-04-30,2025,4,-29.256684138900,,28.619259363800,,-0.54,,60.323998871100,mxdata
688361,中科飞测,2025-12-31,2026-04-30,2025,4,1.913183168100,,49.92719772900,,0.18,,35.494194937800,mxdata
688362,甬矽电子,2025-12-31,2026-04-30,2025,4,0.715170063700,,16.635714693400,,0.2,,73.048512136200,mxdata
688327,云从科技,2025-12-31,2026-04-30,2025,4,-1.752777426300,,47.976564788200,,-0.01,,62.844013693800,mxdata
