symbol,date,margin_buy,margin_repay,margin_balance,margin_ratio,sec_lending_volume,sec_lending_balance
002202,20260630,451840484.0,466201059.0,3470292003.0,0.0,99600.0,15961854.0
002212,20260706,13723937.0,16577699.0,624054923.0,0.0,12800.0,3540144.0
002212,20260703,10574162.0,15149669.0,626908685.0,0.0,16800.0,3617922.0
002212,20260702,18286984.0,28931783.0,631484192.0,0.0,0.0,3509792.0
002212,20260701,31809816.0,26564835.0,642128991.0,0.0,13900.0,3745755.0
002212,20260630,40502718.0,35098727.0,636884010.0,0.0,53800.0,3884010.0
002222,20260706,178234805.0,169082238.0,2193754692.0,0.0,19900.0,11392165.0
002222,20260703,156900132.0,211167124.0,2184602125.0,0.0,17700.0,11349170.0
002222,20260702,138783784.0,243109073.0,2238869117.0,0.0,17900.0,10745930.0
002222,20260701,241514235.0,263332922.0,2343194406.0,0.0,2200.0,9643214.0
002222,20260630,326504549.0,321172551.0,2365013093.0,0.0,1300.0,14100384.0
002223,20260706,28730904.0,22735179.0,641722626.0,0.0,3500.0,11082550.0
002223,20260703,24713815.0,29285941.0,635726901.0,0.0,11500.0,11134760.0
002223,20260702,25868738.0,29002235.0,640299027.0,0.0,6800.0,10684058.0
002223,20260701,38462183.0,39989404.0,643432524.0,0.0,8000.0,10802336.0
002223,20260630,36371501.0,19371398.0,644959745.0,0.0,5000.0,10448752.0
002230,20260706,166545519.0,166727273.0,5841620985.0,0.0,33700.0,16676337.0
002230,20260703,193005144.0,219129990.0,5841802739.0,0.0,11100.0,16539327.0
002230,20260702,328246674.0,258279444.0,5867927585.0,0.0,12400.0,16088653.0
002230,20260701,245752149.0,207238471.0,5797960355.0,0.0,25800.0,16356281.0
002230,20260630,202303098.0,228419464.0,5759446677.0,0.0,17500.0,15663855.0
002236,20260706,60280160.0,66039521.0,1877485801.0,0.0,22400.0,4038528.0
002236,20260703,63307679.0,88409203.0,1883245162.0,0.0,34300.0,3865680.0
002236,20260702,47632416.0,55289511.0,1908346686.0,0.0,16800.0,3298698.0
002236,20260701,67970989.0,85561670.0,1916003781.0,0.0,10700.0,3382320.0
002236,20260630,82186787.0,64369629.0,1933594462.0,0.0,15300.0,3792700.0
002241,20260706,214951844.0,148251881.0,4409171564.0,0.0,42400.0,6342238.0
002241,20260703,156754935.0,201395619.0,4342471601.0,0.0,9000.0,5986575.0
002241,20260702,137116749.0,137108146.0,4387112285.0,0.0,31600.0,6865692.0
002241,20260701,173624029.0,200779190.0,4387103682.0,0.0,26000.0,6803136.0
002241,20260630,191639214.0,293377852.0,4414258843.0,0.0,33100.0,7707513.0
002261,20260706,185094844.0,177783759.0,1614245291.0,0.0,32800.0,8569470.0
002261,20260703,158784690.0,154380637.0,1606934206.0,0.0,4900.0,8611018.0
002261,20260702,252564018.0,246689170.0,1602530153.0,0.0,105400.0,9863700.0
002261,20260701,122485682.0,99900438.0,1596655305.0,0.0,19700.0,7117500.0
002261,20260630,86287626.0,91805003.0,1574070061.0,0.0,36600.0,6912868.0
